Flavor,Technique,Dataset,Duration,AD1_AUC,VUS_PR
Incremental ,LocalOutlierFactor,EDP,791,0.5853984730372582,0.3384379712523571
Incremental ,LocalOutlierFactor,EDP,727,0.8780848329048843,0.3776327393392
Incremental ,LocalOutlierFactor,EDP,768,0.5349893067189448,0.35692007969698525
Incremental ,LocalOutlierFactor,EDP,776,0.6986135320256304,0.33986630436233545
Incremental ,LocalOutlierFactor,EDP,765,0.542914201100303,0.3293684270230089
Incremental ,LocalOutlierFactor,EDP,745,0.7508255633255634,0.34977637902554987
Incremental ,LocalOutlierFactor,EDP,885,0.4887237858608348,0.3375031005202195
Incremental ,LocalOutlierFactor,EDP,888,0.5602660301972947,0.33874235289898774
Incremental ,LocalOutlierFactor,EDP,917,0.657061084915679,0.33834235642995586
Incremental ,LocalOutlierFactor,EDP,818,0.6242287657425984,0.3495137378823665
Incremental ,LocalOutlierFactor,EDP,953,0.7181269135986856,0.33907448749435576
Incremental ,LocalOutlierFactor,EDP,813,0.6014323631704191,0.3597269529773232
Incremental ,LocalOutlierFactor,EDP,916,0.5766116371070998,0.34172423049375295
Incremental ,LocalOutlierFactor,EDP,3708,0.5367494464001816,0.3231734534512481
Incremental ,LocalOutlierFactor,EDP,912,0.6342156556600923,0.34207459778066895
Incremental ,LocalOutlierFactor,EDP,944,0.6428442914896835,0.34358334187307016
Incremental ,LocalOutlierFactor,EDP,2830,0.5470948410630536,0.3360712130213084
Incremental ,LocalOutlierFactor,EDP,963,0.69655271031327,0.35099185929307114
Incremental ,LocalOutlierFactor,EDP,4898,0.5503704585216278,0.32522318569633957
Incremental ,LocalOutlierFactor,EDP,975,0.5426956251456989,0.33919311889284653
Incremental ,LocalOutlierFactor,EDP,941,0.7413490704728586,0.3450569333562885
Incremental ,LocalOutlierFactor,EDP,919,0.4944232753830277,0.3379283274256665
Incremental ,LocalOutlierFactor,EDP,958,0.5857994842037395,0.35328974078283526
Incremental ,LocalOutlierFactor,EDP,887,0.7227698053072364,0.3518615454778775
Incremental ,LocalOutlierFactor,EDP,899,0.3711898395721925,0.3461692268079231
Incremental ,LocalOutlierFactor,EDP,880,0.7122130157086138,0.33630611290078616
Incremental ,LocalOutlierFactor,EDP,954,0.43965237085774855,0.33721890679817074
Incremental ,LocalOutlierFactor,EDP,799,0.755066270917558,0.36346794334585647
Incremental ,LocalOutlierFactor,EDP,885,0.6009301130524152,0.3524770761715042
Incremental ,LocalOutlierFactor,EDP,860,0.7788194759112995,0.353833833327539
Incremental ,LocalOutlierFactor,EDP,2831,0.5080920228316859,0.33020678915928464
Incremental ,LocalOutlierFactor,EDP,905,0.7454854282138388,0.35864601587124334
